CID,IDSURVEY,zHD,zHEL,MU,MUERR
1337703,10,0.53225,0.53281,42.05819,0.1261
1259771,10,0.53232,0.53341,42.34927,0.1653
1295249,10,0.53251,0.53309,42.63882,0.1697
1574017,10,0.53287,0.53399,42.52319,0.1377
1323777,10,0.5329,0.53348,42.86814,233.7003
1254000,10,0.533,0.53356,42.80941,0.2169
1297061,10,0.53387,0.53445,42.67617,0.238
1536021,10,0.5341,0.53524,42.42357,0.174
1470063,10,0.53547,0.53605,42.71709,0.2917
1339425,10,0.53579,0.53633,42.64822,0.2171
1289714,10,0.53582,0.53638,42.69972,0.1885
1254002,10,0.53591,0.53644,42.41394,0.1499
1770487,10,0.53644,0.5377,42.06416,0.8065
1876305,10,0.53667,0.53784,42.40215,0.1392
1313026,10,0.53696,0.53752,42.51919,0.1823
1644290,10,0.5373,0.53786,42.41784,0.1489
1934253,10,0.53739,0.538,42.4292,0.1442
1912110,10,0.53763,0.53873,42.1294,0.172
1260568,10,0.53805,0.53864,42.47376,0.2039
1636043,10,0.53944,0.54055,42.52552,0.1282
1291159,10,0.53976,0.54102,42.42586,0.1918
1252364,10,0.54134,0.54251,42.29627,0.1803
1474020,10,0.54148,0.54211,42.40943,0.227
1324542,10,0.54154,0.5421,42.55716,0.192
1324685,10,0.54183,0.54244,42.45177,0.1382
1341000,10,0.54203,0.54259,42.4341,0.1945
1861210,10,0.54229,0.54285,42.5416,0.1728
1340728,10,0.54277,0.544,43.06948,226.7333
1876731,10,0.54291,0.54348,42.66196,0.2432
1367408,10,0.54306,0.54366,42.5904,0.1527
1302055,10,0.54327,0.54383,42.81745,0.2185
1322954,10,0.54327,0.54385,42.47192,0.2144
1290995,10,0.54351,0.5441,42.29839,0.1258
1928157,10,0.54379,0.54505,42.57478,0.1037
1264049,10,0.54397,0.54508,42.2202,0.1396
1297353,10,0.54402,0.54459,42.13796,0.147
1547048,10,0.54454,0.54579,42.22792,0.1494
1945116,10,0.54469,0.54525,42.58556,0.1296
1644213,10,0.54509,0.54622,42.45335,0.1636
1641288,10,0.54529,0.54642,42.50157,0.1643
1306980,10,0.54674,0.54789,42.48369,0.2353
1530098,10,0.54758,0.54873,43.14783,211.0391
1899065,10,0.54762,0.54877,42.33816,0.173
1291733,10,0.54784,0.54895,42.09818,0.5624
1906545,10,0.54806,0.5493,42.80686,0.1992
1389210,10,0.54865,0.54921,42.50563,0.127
1891082,10,0.54871,0.55,42.5505,0.1551
1297157,10,0.54888,0.54947,42.49308,0.1612
1643316,10,0.54894,0.5495,42.27135,2.6203
1258802,10,0.54947,0.55063,42.33346,0.164
1249264,10,0.54968,0.55081,42.65559,0.1325
1331344,10,0.54993,0.55122,42.66588,0.1921
1574062,10,0.5502,0.55144,42.76064,0.1445
1260000,10,0.5506,0.55172,42.72227,0.1714
1570024,10,0.55064,0.55123,42.40742,0.1239
1368111,10,0.55095,0.55205,42.32849,0.132
1880545,10,0.55111,0.55227,42.37667,0.1931
1306736,10,0.55145,0.552,42.35736,0.2011
1250925,10,0.55146,0.55269,42.37732,0.1998
1264963,10,0.55214,0.55325,42.62838,0.2216
1315818,10,0.55218,0.55274,42.68035,0.1648
1260551,10,0.55236,0.55292,42.2596,0.1495
1896254,10,0.55283,0.55339,42.53302,0.1478
1252142,10,0.55288,0.55345,42.56999,0.1367
1878756,10,0.55294,0.55419,42.81817,0.2675
1264631,10,0.55299,0.55424,42.20844,0.178
1366195,10,0.55313,0.55439,42.30991,0.1174
1341426,10,0.55321,0.55432,42.59233,0.1951
1316989,10,0.55343,0.55474,42.21046,0.2052
1444028,10,0.55372,0.55484,42.57853,0.166
1439028,10,0.55424,0.5555,42.40539,0.1541
1912020,10,0.55436,0.55496,42.48851,0.0819
1321492,10,0.55467,0.55583,42.32536,0.1951
1246796,10,0.55502,0.55626,43.4149,286.2019
1249395,10,0.55513,0.55626,42.57116,0.1529
1260605,10,0.55534,0.55594,42.4499,0.1451
1255523,10,0.55536,0.55665,42.56212,0.2033
1833067,10,0.55577,0.55688,42.36557,0.1855
1530191,10,0.55584,0.5571,42.73848,0.2075
1256505,10,0.55626,0.55738,42.42574,0.1265
1504139,10,0.55644,0.55708,42.4424,0.1139
1256764,10,0.55649,0.55774,42.29948,0.1516
1251600,10,0.5576,0.55887,42.56286,0.1304
1291842,10,0.55763,0.55821,42.4109,0.2467
1326367,10,0.55797,0.55856,42.698,0.1819
1635042,10,0.55833,0.55948,42.37836,0.1146
1311590,10,0.5591,0.5604,42.46451,0.1396
1295685,10,0.55929,0.56046,42.58846,0.3035
1331976,10,0.55939,0.56062,43.47172,240.3901
1810087,10,0.55943,0.55997,42.60293,0.202
1304779,10,0.55993,0.5605,42.45886,0.0892
1249182,10,0.56017,0.56135,42.18869,0.2091
1252751,10,0.56059,0.56173,42.47726,0.1276
1915087,10,0.56104,0.56216,42.52096,0.2018
1259500,10,0.56161,0.56288,42.38353,0.14
1263579,10,0.56161,0.56277,42.67654,0.2193
1289555,10,0.56173,0.56289,42.34449,0.1398
1644163,10,0.56202,0.56317,42.85635,0.186
1262267,10,0.56215,0.56332,42.18917,0.2134
1337321,10,0.56258,0.56389,42.52134,0.1423
1303952,10,0.56262,0.56387,42.63699,0.1602
1654105,10,0.56271,0.56331,42.31739,0.1444
1319926,10,0.56341,0.564,42.50456,0.2252
1878335,10,0.56371,0.565,42.52206,0.1391
1259585,10,0.56401,0.5653,42.6494,0.1537
1452059,10,0.5642,0.5655,42.43056,0.1969
1330903,10,0.56429,0.56544,42.70695,0.1447
1338278,10,0.5643,0.5656,42.54121,0.1562
1285317,10,0.56441,0.56555,42.44977,0.1616
1876287,10,0.56445,0.56558,42.48074,0.113
1264077,10,0.56459,0.56572,42.82499,0.2096
1432141,10,0.56489,0.566,42.83606,0.1951
1279501,10,0.56527,0.56655,42.4825,0.1721
1283855,10,0.56536,0.56651,42.3511,0.177
1942106,10,0.56584,0.56638,42.62418,0.163
1315890,10,0.56699,0.56815,42.9266,0.233
1595127,10,0.5674,0.56799,42.70353,0.1226
1259561,10,0.56751,0.56882,42.47441,0.1305
1643338,10,0.56788,0.56915,42.78176,0.1777
1850154,10,0.56823,0.56884,42.60912,0.2138
1328089,10,0.56864,0.5698,42.4359,0.1777
1345458,10,0.56872,0.56932,42.61153,0.1848
1512101,10,0.56872,0.57,42.4688,0.1166
1326273,10,0.56949,0.57013,43.62257,234.917
1305807,10,0.56997,0.5711,42.87093,0.2368
1895233,10,0.57035,0.57098,42.14025,0.1728
1266830,10,0.57039,0.5717,42.39987,0.171
1248936,10,0.57093,0.57208,42.73478,0.2163
1291222,10,0.57106,0.57216,42.39885,0.2457
1290394,10,0.57153,0.57271,42.49121,0.2138
1643063,10,0.57188,0.57319,42.97779,0.2018
1302353,10,0.57193,0.57305,42.56619,0.1269
1251436,10,0.57349,0.57464,42.63064,0.2018
1328103,10,0.57472,0.57589,42.70512,0.1994
1320278,10,0.57508,0.57622,42.48339,0.1944
1466032,10,0.57606,0.57717,42.5602,0.1658
1562098,10,0.57618,0.57747,42.61824,0.1264
1777216,10,0.57626,0.57738,42.41191,0.222
1634024,10,0.57629,0.5776,42.7146,0.1723
1255142,10,0.57675,0.5779,42.58673,0.1828
1448122,10,0.57688,0.57752,42.68022,0.1569
1849244,10,0.57697,0.57826,42.59296,0.1443
1253243,10,0.57729,0.57842,42.65652,0.2032
1337228,10,0.57741,0.57858,42.81386,0.215
1773189,10,0.57744,0.5787,42.7497,0.2732
1281691,10,0.57821,0.57935,42.76313,0.1724
1335854,10,0.57869,0.57927,42.60601,0.1855
1910065,10,0.57875,0.57988,42.57166,0.2254
1320447,10,0.57892,0.58009,42.61,0.1607
1330339,10,0.57914,0.57968,42.66091,0.2307
1247570,10,0.57927,0.5806,42.52181,0.1828
1258400,10,0.57963,0.58092,42.92791,0.2199
1282966,10,0.58012,0.58072,42.53997,0.1635
1847028,10,0.58021,0.58138,42.52612,0.3153
1252810,10,0.58026,0.5814,42.6384,0.1458
1435033,10,0.5804,0.58096,42.79653,0.1761
1501158,10,0.58049,0.58162,42.78665,0.303
1255382,10,0.58055,0.58171,42.52955,0.1641
1340470,10,0.58057,0.58187,42.66228,0.1513
1262055,10,0.58072,0.5813,42.76817,0.1815
1770225,10,0.58074,0.582,42.76376,0.1902
1927254,10,0.58091,0.5815,43.01823,0.1849
1533035,10,0.58117,0.58247,42.80828,0.1796
1304652,10,0.58126,0.5824,42.64917,0.1477
1314162,10,0.58141,0.58267,42.66271,0.1522
1487055,10,0.58196,0.58308,42.8498,0.2149
1263580,10,0.58276,0.58393,42.64332,0.2095
1336384,10,0.58306,0.58439,42.75765,0.1686
1315191,10,0.58357,0.58471,42.71024,0.1477
1770206,10,0.58411,0.58524,42.4584,0.146
1300531,10,0.58454,0.58567,42.85836,0.1807
1338485,10,0.58466,0.58582,42.73675,0.1373
1265990,10,0.58574,0.58691,42.60893,0.2047
1256819,10,0.58576,0.58701,42.72917,0.1696
1334265,10,0.58586,0.58646,42.72307,0.219
1331719,10,0.58627,0.5874,42.6563,0.2102
1302572,10,0.5874,0.58858,42.67107,0.1344
1848092,10,0.5877,0.58883,42.70658,0.152
1257129,10,0.58817,0.58932,42.4876,0.1736
1294971,10,0.58822,0.58877,42.97461,0.1829
1303118,10,0.58838,0.58967,42.82734,0.2545
1302073,10,0.58845,0.589,42.64079,0.199
1255657,10,0.58881,0.59011,43.08574,0.1983
1333576,10,0.58893,0.59011,42.58421,0.2949
1370806,10,0.58895,0.5895,42.90569,0.1847
1324536,10,0.58899,0.58955,42.96694,0.233
1321261,10,0.58936,0.59069,42.37372,0.1585
1575072,10,0.59028,0.59156,42.72133,0.1389
1946322,10,0.59043,0.59098,42.75858,0.1313
1253997,10,0.59079,0.59134,42.62793,0.1658
1260639,10,0.59141,0.59196,42.58001,0.207
1896244,10,0.59156,0.59211,43.15886,0.2089
1879187,10,0.59157,0.59271,42.73633,0.1998
1299439,10,0.59158,0.59271,42.86835,0.1595
1595110,10,0.59269,0.59325,42.7093,0.1621
1889226,10,0.59276,0.59338,42.35345,0.1767
1625059,10,0.59279,0.59391,42.88319,0.186
1392367,10,0.59349,0.59463,43.05236,0.2242
1264083,10,0.5939,0.59502,42.73246,0.1523
1290191,10,0.59506,0.59567,42.39187,0.2198
1319653,10,0.59552,0.59613,42.64435,0.1477
1433226,10,0.59618,0.5975,42.72123,0.232
1309051,10,0.59629,0.59756,42.50344,0.1896
1252313,10,0.59692,0.59808,42.71901,0.1295
1341423,10,0.5971,0.59825,42.47573,0.1422
1258591,10,0.5975,0.5988,42.53003,0.2337
1251126,10,0.59788,0.59845,42.74016,0.122
1261236,10,0.59789,0.5985,42.49326,0.2054
1500076,10,0.59892,0.60024,42.69531,0.1618
1290323,10,0.59909,0.59969,42.44629,0.1996
1338223,10,0.59952,0.60072,42.65104,0.1724
1339220,10,0.59992,0.60052,42.91367,0.1758
1450127,10,0.60009,0.60139,42.74341,0.1856
1336953,10,0.60013,0.60141,42.70069,0.1976
1876301,10,0.60073,0.60195,42.81219,0.2189
1305873,10,0.60092,0.60153,42.82088,0.1811
1292800,10,0.60097,0.60225,42.39938,0.2336
1338233,10,0.60148,0.60279,42.9279,0.1846
1255545,10,0.60182,0.60314,42.56788,0.1367
1259330,10,0.60243,0.60357,42.86699,0.2111
1674022,10,0.60262,0.60394,42.53555,0.1635
1265260,10,0.60311,0.6044,42.50027,0.2708
1574019,10,0.60433,0.60551,42.46616,0.1094
1303314,10,0.60491,0.6062,42.96858,0.2724
1252199,10,0.60498,0.6056,42.70593,0.1852
1864084,10,0.60535,0.60665,42.74226,0.144
1254889,10,0.60551,0.60613,42.81646,0.1438
1335585,10,0.60557,0.60687,42.89637,0.2197
1549078,10,0.60558,0.60616,42.81212,0.2289
1335387,10,0.60582,0.60642,42.6403,0.148
1335564,10,0.60619,0.6075,42.81482,0.1525
1306059,10,0.60631,0.6076,42.86798,0.1889
1839117,10,0.60674,0.608,42.72056,0.1509
1641368,10,0.60706,0.60833,43.00297,0.2155
1335675,10,0.60735,0.60791,42.69747,0.148
1293046,10,0.60736,0.60863,42.93457,0.2045
1929034,10,0.60827,0.60889,42.60951,0.1606
1246334,10,0.60861,0.60919,41.73631,111.8637
1306110,10,0.60864,0.60994,42.60705,0.1301
1320843,10,0.60874,0.60989,42.88274,0.1955
1531033,10,0.60888,0.61002,42.99034,0.2209
1770680,10,0.60911,0.61041,42.56791,0.1432
1340132,10,0.60943,0.61054,42.75672,0.2018
1298246,10,0.60946,0.61058,42.58711,0.1502
1301397,10,0.60955,0.61076,43.02617,0.1745
1298763,10,0.6096,0.61093,43.03339,0.2105
1602033,10,0.60967,0.61096,42.78596,0.1441
1297377,10,0.60981,0.61044,42.53459,0.2067
1316461,10,0.60984,0.61047,42.5769,0.1908
1936215,10,0.61011,0.61124,42.72967,0.1579
1431108,10,0.61052,0.61115,42.67059,0.1482
1261144,10,0.61069,0.61126,42.69645,0.1609
1443078,10,0.61096,0.61215,43.1088,0.1828
1329365,10,0.61101,0.6123,42.93007,0.1545
1413048,10,0.61122,0.61185,42.80998,0.2355
1959025,10,0.61137,0.61194,43.19188,0.2409
1644180,10,0.61154,0.6122,42.84893,0.144
1332008,10,0.61156,0.61272,43.01242,0.2138
1904321,10,0.61177,0.61233,42.95593,0.1969
1289470,10,0.61207,0.61268,42.51588,0.2167
1534078,10,0.61224,0.61356,42.72037,0.1798
1315570,10,0.61273,0.61334,42.81293,0.128
1644061,10,0.61287,0.61349,42.50418,0.2021
1332594,10,0.61302,0.61365,43.60052,184.5903
1338649,10,0.61327,0.61443,43.07674,0.1973
1262803,10,0.61343,0.6147,43.09117,0.23
1891030,10,0.61377,0.61497,42.9921,0.1856
1296781,10,0.61378,0.61508,43.30679,173.2456
1257905,10,0.61393,0.61509,42.74788,0.1512
1849276,10,0.61412,0.61542,42.97053,0.1868
1258433,10,0.61445,0.61572,43.08686,0.2462
1331925,10,0.61496,0.61628,42.819,0.2321
1311113,10,0.61533,0.61596,42.81473,0.148
1316626,10,0.61601,0.61667,42.83136,0.1934
1305219,10,0.61633,0.61748,42.99796,0.1637
1387162,10,0.6175,0.61809,43.1957,0.1989
1300084,10,0.61843,0.61958,43.07014,0.2492
1261163,10,0.61854,0.61917,42.72636,0.2843
1812092,10,0.6187,0.61933,42.20088,0.3991
1331883,10,0.61882,0.62011,42.94493,0.2316
1305409,10,0.61935,0.62066,42.71444,0.1625
1256335,10,0.61939,0.6207,42.92372,0.1837
1256807,10,0.61943,0.62074,42.62422,0.2218
1594042,10,0.61981,0.62112,42.93407,0.1523
1338849,10,0.62002,0.62065,42.92772,0.1712
1260463,10,0.62023,0.62154,42.85226,0.2188
1301915,10,0.62043,0.62104,43.1453,0.2335
1334253,10,0.62076,0.62135,42.9675,0.2001
1258249,10,0.62104,0.62237,42.88673,0.195
1498017,10,0.62127,0.62246,42.96494,5.294
1261456,10,0.62162,0.62298,42.90798,0.1512
1579110,10,0.62217,0.62336,43.00674,0.1841
1335818,10,0.62253,0.62317,42.74949,0.2007
1598039,10,0.62292,0.62354,42.94654,0.1928
1267094,10,0.62318,0.6238,42.80918,0.133
1332632,10,0.6232,0.62383,42.58487,0.1601
1904061,10,0.62336,0.6247,42.88673,0.1476
1849109,10,0.62398,0.6253,42.64063,0.1168
1255130,10,0.62411,0.62529,43.01173,0.1665
1899029,10,0.62411,0.62548,42.79865,0.1266
1431118,10,0.62468,0.62531,42.92618,0.3017
1833321,10,0.6248,0.62542,42.93252,0.1964
1258118,10,0.62518,0.62638,42.89584,0.1637
1916193,10,0.62565,0.62696,42.90373,0.216
1280762,10,0.62617,0.62682,43.14596,0.2244
1302901,10,0.62618,0.62737,43.1766,0.185
1251114,10,0.62632,0.62692,42.8727,0.1309
1392329,10,0.62654,0.62775,42.87127,0.141
1321116,10,0.62684,0.62816,42.80719,0.1715
1310073,10,0.62703,0.62819,42.89849,0.1438
1891107,10,0.62735,0.6287,42.69856,0.1455
1334858,10,0.62737,0.628,43.03721,0.2715
1305687,10,0.6274,0.62859,43.23335,0.1534
1295417,10,0.62753,0.62884,42.8193,0.3917
1294667,10,0.62818,0.6295,42.87617,0.2031
1370308,10,0.62863,0.62927,42.98062,0.225
1315832,10,0.6291,0.62968,42.85659,0.2075
1590044,10,0.62931,0.63048,42.92056,0.1417
1380034,10,0.62935,0.63065,43.70945,206.052
1375087,10,0.62952,0.63016,42.99013,0.1741
1251603,10,0.63033,0.63165,42.94051,0.2153
1311001,10,0.63094,0.63159,42.93812,0.1931
1280790,10,0.63211,0.63278,42.82135,0.2085
1559147,10,0.63231,0.6336,42.72051,0.1986
1314289,10,0.63264,0.63328,43.27999,0.253
1442085,10,0.63355,0.63476,43.06881,0.1873
1330642,10,0.63391,0.63521,42.71695,0.1534
1880486,10,0.63407,0.63527,43.17363,0.1741
1313177,10,0.63498,0.6362,42.88847,0.1606
1304183,10,0.63502,0.63618,42.76987,0.1632
1290812,10,0.63503,0.63566,42.72109,0.2567
1297580,10,0.63561,0.63626,43.05697,0.1813
1900801,10,0.63579,0.63644,44.55917,296.596
1249304,10,0.63681,0.63802,42.80446,0.1265
1546021,10,0.63706,0.63766,42.5523,0.1894
1340460,10,0.63779,0.63843,42.93931,0.1648
1343871,10,0.63786,0.639,42.90786,0.1602
1292316,10,0.63883,0.64005,42.68064,134.0125
1528034,10,0.6389,0.64009,42.93321,0.1807
1892149,10,0.64025,0.64141,42.80521,0.1279
1311631,10,0.64039,0.64177,43.19782,0.1747
1500086,10,0.64129,0.64266,42.76714,0.1555
1810306,10,0.6413,0.64245,42.99211,0.1667
1578063,10,0.64298,0.64434,43.27022,0.1724
1250397,10,0.64304,0.64442,42.83351,0.1294
1308568,10,0.64304,0.64442,42.6528,0.1564
1904352,10,0.64337,0.64396,43.1229,0.2438
1296793,10,0.64392,0.64526,42.96751,0.1528
1257839,10,0.64421,0.64538,42.90481,0.1699
1317496,10,0.64429,0.64554,43.22859,0.2012
1420185,10,0.64453,0.64519,43.03445,0.2129
1880513,10,0.64458,0.64577,42.87458,0.1341
1878612,10,0.64488,0.64605,42.49207,0.1502
1452065,10,0.64509,0.64645,42.68781,0.14
1302719,10,0.64527,0.64645,43.20672,0.1568
1876263,10,0.64639,0.64763,42.94172,0.2904
1473025,10,0.64649,0.64709,42.89316,0.1705
1305946,10,0.64663,0.648,43.08081,0.1812
1282463,10,0.64685,0.64804,42.80618,0.1611
1879188,10,0.64727,0.64846,42.96769,0.1322
1899158,10,0.64747,0.64881,42.76015,0.1633
1370402,10,0.64766,0.64833,42.86987,0.1476
1336693,10,0.64795,0.64929,42.77065,0.1157
1339102,10,0.64795,0.64929,43.25548,0.1521
1338266,10,0.64845,0.6498,43.14929,0.1259
1296671,10,0.64852,0.64986,42.94256,0.1422
1334707,10,0.64922,0.64989,42.87882,0.1499
1255139,10,0.64989,0.65054,42.96679,0.2032
1336925,10,0.64997,0.65056,42.82085,0.1852
1297064,10,0.65045,0.65109,43.02514,0.1922
1370898,10,0.65069,0.65193,43.15962,0.169
1391191,10,0.65069,0.65126,43.3449,0.1943
1928108,10,0.6508,0.6521,43.88382,269.5857
1249342,10,0.65098,0.65218,42.63731,0.1312
1340125,10,0.65134,0.65254,43.27854,0.2009
1265578,10,0.65135,0.65197,42.83047,0.2115
1309551,10,0.65135,0.65259,43.25646,0.2268
1281135,10,0.65195,0.65254,42.53804,0.1388
1263090,10,0.65206,0.65341,42.78853,0.1424
1575019,10,0.65214,0.65338,42.80971,0.1503
1303753,10,0.65242,0.65363,42.9582,0.1411
1342707,10,0.65243,0.65375,42.99022,0.1392
1559124,10,0.65253,0.65311,42.81356,0.1429
1890041,10,0.65258,0.6538,42.90508,0.1588
1533036,10,0.65325,0.65446,43.39668,0.1993
1340521,10,0.65356,0.65415,43.0426,0.1412
1261587,10,0.65387,0.65455,42.85569,0.1565
1331707,10,0.65395,0.65516,43.22408,0.1429
1340141,10,0.65405,0.65523,43.16935,0.1479
1257216,10,0.65434,0.65557,42.93368,0.1345
1833564,10,0.65461,0.65526,42.87566,0.23
1284567,10,0.65483,0.65602,42.79729,0.15
1263039,10,0.65514,0.6565,42.93665,0.1687
1643213,10,0.65526,0.6559,43.03976,0.1831
1370113,10,0.65553,0.65674,42.91029,0.138
1920457,10,0.65573,0.65692,43.07736,0.1399
1574028,10,0.65589,0.65712,43.08029,0.1892
1300590,10,0.65633,0.6577,42.77199,0.1199
1370391,10,0.65692,0.65749,42.81892,0.1397
1287883,10,0.65718,0.65842,42.82373,0.1896
1296173,10,0.65763,0.65898,42.73804,0.2801
1564017,10,0.65792,0.65916,43.04337,0.1608
1430255,10,0.65806,0.65938,42.82157,0.1541
1304991,10,0.65866,0.65984,42.98593,0.1462
1259667,10,0.65871,0.65939,43.30961,0.194
1390173,10,0.65875,0.65938,43.17347,0.1778
1334686,10,0.65904,0.6604,42.93731,0.1523
1333949,10,0.65927,0.66047,42.92479,0.1522
1642138,10,0.65971,0.66033,43.01035,0.149
1319776,10,0.6598,0.6604,43.19205,0.178
1314709,10,0.65988,0.66048,43.01096,0.1669
1318847,10,0.65992,0.66107,43.05109,0.1537
1263852,10,0.66083,0.66144,42.98736,0.2043
1261191,10,0.66147,0.66212,42.92792,0.0409
1639025,10,0.6619,0.6631,42.92854,0.1186
1434258,10,0.66195,0.6626,43.02057,0.2122
1286337,10,0.66296,0.66422,42.74686,0.1906
1264038,10,0.66362,0.66425,42.84266,0.1586
1310475,10,0.66375,0.66511,42.9394,0.1237
1314369,10,0.66386,0.6652,43.3965,0.2135
1910032,10,0.66455,0.66579,43.06804,0.1832
1945100,10,0.6646,0.66526,43.52627,222.1539
1340751,10,0.6648,0.66614,43.77146,268.536
1250823,10,0.66487,0.66553,43.14936,0.2147
1905127,10,0.66579,0.66712,43.29871,0.1532
1252939,10,0.66666,0.668,42.88121,0.136
1255423,10,0.66681,0.66801,42.74467,0.1205
1303658,10,0.66788,0.66912,42.89247,0.1446
1319058,10,0.66811,0.66951,42.93625,0.1487
1310304,10,0.66881,0.6702,43.16653,0.1467
1370247,10,0.66882,0.67022,43.04782,0.123
1250916,10,0.66948,0.6708,42.86417,0.1475
1295794,10,0.67098,0.67164,43.00473,0.2607
1326299,10,0.67382,0.67448,43.30403,0.1937
1260645,10,0.67405,0.67462,43.05539,0.1608
1290593,10,0.67528,0.67594,43.16126,0.2832
1329168,10,0.67651,0.67717,42.84811,0.1619
1548070,10,0.67651,0.67716,43.04567,0.1873
1296919,10,0.67698,0.67832,43.11889,0.2062
1531078,10,0.67713,0.67847,43.29721,0.1426
1257973,10,0.67746,0.67863,42.99288,0.1796
1336599,10,0.67747,0.67813,42.91771,0.3624
1319667,10,0.67756,0.67818,42.94647,0.132
1311151,10,0.67765,0.6783,43.07834,0.2179
1302738,10,0.67783,0.679,43.0151,0.1593
1908493,10,0.67829,0.67963,43.66497,298.7541
1310916,10,0.67923,0.67983,42.76458,0.1263
1795052,10,0.67924,0.68058,42.81345,0.158
1332795,10,0.67984,0.68047,43.19576,0.1813
1334257,10,0.68005,0.68067,42.83564,0.128
1560099,10,0.68006,0.68072,43.16714,0.2156
1263130,10,0.68017,0.68084,42.81778,0.2203
1927203,10,0.68069,0.68132,43.08039,0.1459
1264606,10,0.6811,0.68176,42.98488,0.1629
1330559,10,0.68131,0.68194,43.28465,0.1929
1311884,10,0.68136,0.68269,42.92828,0.1595
1256596,10,0.68138,0.68203,43.19335,0.1633
1320030,10,0.68141,0.68207,43.02137,0.1831
1901241,10,0.68144,0.68264,43.13494,0.1237
1277710,10,0.68179,0.68245,43.09853,0.1757
1333489,10,0.68179,0.68244,43.24179,0.1762
1346627,10,0.68193,0.68257,43.02045,0.1539
1876304,10,0.68233,0.68356,43.52016,0.1734
1433108,10,0.68283,0.68403,43.29628,0.1576
1299090,10,0.68339,0.68474,43.0735,0.1394
1295509,10,0.68363,0.68428,42.92092,0.1719
1341743,10,0.68422,0.68487,43.01879,0.1585
1251022,10,0.68428,0.6849,42.91859,0.1182
1433114,10,0.68438,0.68506,43.04141,0.2285
1303910,10,0.68456,0.68577,43.28773,0.1919
1509040,10,0.68507,0.68629,43.0748,0.1739
1900124,10,0.68533,0.68669,43.37393,0.1532
1308589,10,0.68576,0.68643,42.60976,0.359
1642178,10,0.68673,0.6874,42.97455,0.1554
1896213,10,0.68688,0.68757,42.9114,0.2067
1642158,10,0.687,0.68826,43.16049,0.1535
1588019,10,0.68766,0.68831,42.94386,0.1563
1950043,10,0.68828,0.68891,43.13319,0.161
1861474,10,0.68966,0.691,42.99482,0.1428
1305308,10,0.68972,0.69112,43.24206,0.1522
1311496,10,0.69066,0.69188,43.44719,0.1661
1313434,10,0.69071,0.69194,43.13108,0.1489
1310236,10,0.69085,0.69211,43.36529,0.1269
1250120,10,0.69088,0.69207,43.13777,0.1207
1255730,10,0.69107,0.69242,43.45652,0.3612
1320009,10,0.69164,0.69229,43.21584,0.1743
1592067,10,0.69191,0.69314,43.03551,0.127
1333442,10,0.69209,0.69344,42.99,0.2034
1299033,10,0.69226,0.69363,43.15751,0.1403
1487043,10,0.69226,0.69363,42.96967,0.1662
1340253,10,0.69261,0.6938,43.04964,0.1527
1252917,10,0.69277,0.6941,43.12737,0.2459
1316853,10,0.69304,0.69445,43.0704,0.1133
1370181,10,0.6931,0.69446,43.15907,0.188
1277716,10,0.69313,0.69377,43.02789,0.1923
1590133,10,0.69362,0.69426,43.44089,0.2999
1332709,10,0.69371,0.69431,43.33734,0.1673
1333248,10,0.69395,0.69519,42.90746,0.1419
1260105,10,0.6941,0.6955,43.14792,0.1349
1645208,10,0.69516,0.69581,43.15819,0.1696
1449102,10,0.6983,0.69896,43.28168,0.2385
1299190,10,0.69836,0.69974,43.12605,0.1845
1387174,10,0.69842,0.699,42.95633,0.1275
1260954,10,0.69873,0.69994,43.06474,0.1572
1373123,10,0.69879,0.7002,43.33194,0.1436
1904287,10,0.69904,0.69973,43.43597,0.1802
1279714,10,0.69938,0.70074,43.57289,0.2763
1250950,10,0.70099,0.70234,43.05299,0.1768
1324062,10,0.70325,0.7039,43.60504,255.9629
1307261,10,0.70351,0.70487,42.91779,0.1562
1254150,10,0.70417,0.70484,43.09897,0.1584
1314296,10,0.70426,0.70561,43.20803,0.1571
1559051,10,0.7051,0.70648,43.09978,0.1592
1952075,10,0.70525,0.7066,43.34021,0.2047
1262895,10,0.70548,0.70615,42.95925,0.2643
1891055,10,0.70652,0.70781,43.36649,0.1779
1891266,10,0.70836,0.70905,43.14275,0.3111
1289812,10,0.70875,0.71009,43.38242,0.2164
1647048,10,0.70882,0.71023,43.11406,0.1312
1265623,10,0.70978,0.71045,43.40826,0.2022
1301142,10,0.71139,0.71266,43.15216,0.137
1563063,10,0.71552,0.71612,43.23435,0.1639
1341556,10,0.71584,0.71721,43.44481,0.1474
1340493,10,0.71719,0.71784,43.14355,0.1559
1432102,10,0.71803,0.71926,43.11022,0.1901
1330995,10,0.71827,0.71965,43.32792,0.1286
1894320,10,0.7188,0.71945,43.29152,0.166
1311903,10,0.71912,0.72049,43.19424,0.2048
1433040,10,0.71949,0.72012,42.9925,0.145
1331993,10,0.71961,0.721,43.27996,0.1991
1338665,10,0.72062,0.72199,43.30862,0.2018
1646092,10,0.7207,0.7213,43.45301,0.1924
1277995,10,0.72199,0.72265,42.90227,0.3024
1308529,10,0.72212,0.72352,43.30392,0.2507
1306067,10,0.7222,0.7228,43.01877,0.1089
1312818,10,0.72292,0.72355,43.31795,0.1427
1701088,10,0.72403,0.72463,43.20605,0.1686
1900856,10,0.72416,0.72477,43.1593,0.1552
1335259,10,0.72701,0.72764,43.50631,0.2041
1263139,10,0.72737,0.72801,43.42614,0.1679
1890212,10,0.72776,0.72913,43.12438,0.1438
