# zHD       = redshift in CMB frame with VPEC correction
# zHEL      = helio redshift (beware: no VPEC corr) 
# MU        = distance modulus corrected for bias and contamination
# MUERR     = stat-uncertainty on MU 
# MUERR_SYS = sqrt(COVSYS_DIAG) for 'ALL' sys (diagnostic)
# PROB1A_BEAMS = SNIa BEAMS probability from BBC (diagnostic)
# ISDATA_REAL: 1   # flag for cosmology fitter to choose blind option
#
VARNAMES: CID IDSURVEY zHD zHEL MU MUERR MUERR_VPEC MUERR_SYS PROBIA_BEAMS
SN: 2003ic      63 0.05126 0.05311 36.54937   0.12410  0.03620  0.05538  1.00000
SN: ASASSN-16hc 150 0.05151 0.05093 36.82260   0.07680  0.03600  0.04051  1.00000
SN: AT2016htn  150 0.05222 0.05312 36.98266   0.13190  0.03560  0.02716  1.00000
SN: PS16evk    150 0.05262 0.05447 37.03123   0.10070  0.03530  0.05444  1.00000
SN: PS16n      150 0.05309 0.05273 36.97195   0.07920  0.03500  0.04632  1.00000
SN: 2010dt      66 0.05316 0.05286 36.99743   0.10280  0.03490  0.02504  1.00000
SN: 2006lu       5 0.05346 0.05340 36.98899   0.07910  0.03480  0.04478  1.00000
SN: PS16bby    150 0.05468 0.05342 36.86677   0.09960  0.03400  0.03941  1.00000
SN: PS16ayd    150 0.05469 0.05399 37.04075   0.06820  0.03400  0.02668  1.00000
SN: SN2017cpu  150 0.05502 0.05440 36.83132   0.07880  0.03380  0.03200  1.00000
SN: AT2017oz   150 0.05614 0.05569 36.99087   0.09950  0.03310  0.07754  1.00000
SN: 2006py       5 0.05653 0.05787 36.95402   0.12300  0.03290  0.11095  1.00000
SN: PS16aer    150 0.05693 0.05547 37.11854   0.10220  0.03270  0.08872  1.00000
SN: 2005hj      64 0.05708 0.05739 37.09263   0.10970  0.03260  0.08528  1.00000
SN: 2006ob      64 0.05824 0.05860 37.07102   0.08900  0.03200  0.04405  1.00000
SN: SN2016gmb  150 0.05830 0.05827 37.06599   0.09890  0.03190  0.04071  1.00000
SN: 2001ah      63 0.05886 0.05776 37.12388   0.12690  0.03160  0.06102  1.00000
SN: SN2017cjv  150 0.06092 0.05953 37.19533   0.09630  0.03060  0.03505  1.00000
SN: 2008bz      65 0.06099 0.06015 37.34903   0.07190  0.03060  0.02759  1.00000
SN: SN2016hhv  150 0.06121 0.06194 37.26462   0.09630  0.03050  0.03296  1.00000
SN: 2006oa      64 0.06153 0.06257 37.22908   0.11560  0.03030  0.03581  1.00000
SN: SN2016aqb  150 0.06384 0.06289 37.20475   0.06540  0.02920  0.06272  1.00000
SN: PS16bnz    150 0.06446 0.06270 37.17811   0.08880  0.02900  0.06156  1.00000
SN: 2007ae      64 0.06533 0.06499 37.16267   0.09270  0.02860  0.02908  1.00000
SN: PS15cms    150 0.06627 0.06479 37.37058   0.10560  0.02820  0.03316  1.00000
SN: SN2016ixf  150 0.06711 0.06602 37.52370   0.10340  0.02790  0.02735  1.00000
SN: AT2016aj   150 0.06725 0.06741 37.36786   0.10860  0.02780  0.03981  1.00000
SN: PS15bjg    150 0.06786 0.06889 37.54178   0.08590  0.02760  0.03637  1.00000
SN: CSS160129  150 0.06844 0.06766 37.39744   0.09780  0.02730  0.05701  1.00000
SN: 2006al      64 0.06886 0.06780 37.58479   0.08490  0.02720  0.04806  1.00000
SN: PTSS17-niq 150 0.06897 0.06828 37.36944   0.07830  0.02710  0.03536  1.00000
SN: PS17yt     150 0.07073 0.06976 37.48354   0.06270  0.02650  0.05186  1.00000
SN: PS16em     150 0.07083 0.06982 37.56996   0.18680  0.02640  0.05305  1.00000
SN: 2006on      64 0.07089 0.07191 37.36956   0.13780  0.02640  0.05011  1.00000
SN: ATLAS16bwu 150 0.07091 0.07180 37.33512   0.14700  0.02640  0.08778  1.00000
SN: PS15bdr    150 0.07116 0.07096 37.53844   0.08090  0.02630  0.04224  1.00000
SN: PS15bwh    150 0.07158 0.07267 37.48486   0.08850  0.02620  0.06770  1.00000
SN: PS15mt     150 0.07193 0.07085 37.74036   0.11060  0.02600  0.04386  1.00000
SN: 1371046     10 0.07334 0.07411 37.54864   0.19450  0.03070  0.31842  1.00000
SN: 1318737     10 0.07374 0.07451 37.30758   0.20260  0.03050  0.15942  1.00000
SN: Gaia16aki  150 0.07393 0.07363 37.68206   0.08650  0.02540  0.02743  1.00000
SN: PS17bii    150 0.07446 0.07339 37.44445   0.10620  0.02520  0.03905  1.00000
SN: 2005ir      64 0.07520 0.07603 37.81463   0.07840  0.02500  0.08306  1.00000
SN: AT2016gsu  150 0.07575 0.07642 37.66512   0.10600  0.02480  0.06165  1.00000
SN: PS15bif    150 0.07845 0.07937 37.67683   0.10710  0.02400  0.09369  1.00000
SN: Gaia16acv  150 0.07859 0.07772 37.95545   0.07010  0.02390  0.03587  1.00000
SN: PS15bzz    150 0.07931 0.08024 37.65050   0.08850  0.02370  0.03627  1.00000
SN: SN2016glp  150 0.08410 0.08493 38.09490   0.12950  0.02240  0.18829  1.00000
SN: SN2016grz  150 0.08704 0.08748 38.09907   0.14830  0.02170  0.10993  1.00000
SN: 1344303     10 0.09394 0.09475 38.21994   0.20380  0.02420  0.15501  0.99991
SN: 1317612     10 0.10442 0.10525 38.33067   0.13430  0.02180  0.03372  0.99998
SN: 1259241     10 0.10543 0.10582 38.28997   0.15120  0.02160  0.16527  1.00000
SN: 1330031     10 0.10563 0.10643 38.52065   0.08550  0.02160  0.03041  1.00000
SN: 1833339     10 0.13051 0.13092 38.86627   0.10720  0.01770  0.08560  0.99997
SN: 1815065     10 0.13537 0.13617 38.85242   0.17370  0.01710  0.04595  1.00000
SN: 1317666     10 0.14136 0.14227 39.33120   0.15030  0.01640  0.05024  1.00000
SN: 1296657     10 0.14624 0.14715 39.29623   0.13030  0.01590  0.04538  1.00000
SN: 1283923     10 0.14631 0.14715 39.42382   0.16800  0.01590  0.07903  1.00000
SN: 1316385     10 0.14740 0.14784 39.00326   0.12920  0.01580  0.13650  1.00000
SN: 1530193     10 0.14802 0.14893 39.17877   0.15970  0.01570  0.09009  1.00000
SN: 1293758     10 0.14812 0.14896 39.32424   0.08120  0.01570  0.05737  1.00000
SN: 1871023     10 0.14840 0.14883 39.95196  235.13550  0.01570  0.04158  0.00000
SN: 1277173     10 0.14940 0.15035 39.33177   0.09210  0.01560  0.02577  0.99694
SN: 1432026     10 0.15011 0.15055 39.58236   0.17620  0.01550  0.08087  0.97108
SN: 1247420     10 0.15026 0.15123 39.16026   0.09790  0.01550  0.05020  0.99975
SN: 1306366     10 0.15062 0.15145 39.62290   0.23280  0.01540  0.16373  0.99999
SN: 1317164     10 0.15459 0.15555 39.14284   0.18040  0.01510  0.09838  1.00000
SN: 1299775     10 0.16008 0.16051 39.11195   0.18860  0.01460  0.06369  1.00000
SN: 1578103     10 0.16008 0.16092 39.38542   0.17350  0.01460  0.05839  1.00000
SN: 1250034     10 0.16085 0.16167 39.39895   0.10870  0.01450  0.07690  1.00000
SN: 1479069     10 0.17267 0.17353 39.57472   0.09610  0.01360  0.02922  1.00000
SN: 1303279     10 0.17273 0.17315 39.29383   0.08130  0.01360  0.01706  0.99837
SN: 1303496     10 0.17978 0.18021 39.67710   0.15190  0.01310  0.02430  1.00000
SN: 1339392     10 0.18148 0.18191 39.38472   0.09160  0.01300  0.02680  1.00000
SN: 1336662     10 0.18156 0.18200 39.65185   0.16860  0.01300  0.06204  1.00000
SN: 1250017     10 0.18216 0.18299 39.78621   0.09750  0.01290  0.03190  1.00000
SN: 1257695     10 0.18383 0.18472 39.75643   0.09250  0.01280  0.03159  1.00000
SN: 1296321     10 0.18444 0.18531 39.99850   0.19260  0.01280  0.05441  1.00000
SN: 1336453     10 0.18492 0.18579 39.83082   0.10660  0.01270  0.04714  1.00000
SN: 1273127     10 0.18937 0.19024 39.94852   0.12710  0.01250  0.03628  1.00000
SN: 1295844     10 0.19209 0.19294 40.95468  136.81770  0.01230  0.04814  0.00000
SN: 1261193     10 0.19246 0.19293 39.87513   0.20670  0.01230  0.07540  1.00000
SN: 1879208     10 0.19471 0.19515 39.98300   0.08640  0.01220  0.04828  1.00000
SN: 1253920     10 0.19555 0.19599 39.75620   0.10310  0.01210  0.05605  1.00000
SN: 1298893     10 0.19616 0.19712 39.90816   0.12860  0.01210  0.04923  1.00000
SN: 1334620     10 0.19624 0.19720 39.93499   0.18840  0.01210  0.27904  1.00000
SN: 1922067     10 0.19771 0.19870 39.82745   0.10560  0.01200  0.02951  1.00000
SN: 1281119     10 0.19902 0.19947 40.13661   0.19810  0.01190  0.06265  0.99923
SN: 1335323     10 0.19991 0.20081 39.81335   0.19410  0.01190  0.07805  0.99970
SN: 1782065     10 0.20173 0.20216 39.83246   0.09660  0.01180  0.03051  1.00000
SN: 1550021     10 0.20587 0.20676 39.94432   0.17880  0.01150  0.25932  1.00000
SN: 1327978     10 0.20699 0.20786 40.00530   0.15780  0.01150  0.02905  1.00000
SN: 1283373     10 0.20753 0.20797 40.17796   0.09590  0.01150  0.02412  1.00000
SN: 1315197     10 0.20823 0.20910 39.99730   0.10560  0.01140  0.05002  1.00000
SN: 1324509     10 0.21062 0.21105 39.96835   0.14990  0.01130  0.15774  1.00000
SN: 1791048     10 0.21094 0.21139 39.91243   0.12320  0.01130  0.02580  0.99980
SN: 1257366     10 0.21136 0.21182 40.14244   0.16310  0.01130  0.03123  1.00000
SN: 1309013     10 0.21260 0.21358 39.99115   0.19410  0.01120  0.25911  1.00000
SN: 1887027     10 0.21303 0.21348 40.09590   0.17820  0.01120  0.05499  0.99996
SN: 1297501     10 0.21492 0.21541 39.72129   0.22280  0.01110  0.10864  1.00000
SN: 1249851     10 0.21511 0.21552 40.06406   0.09640  0.01110  0.07803  1.00000
SN: 1371126     10 0.21601 0.21648 40.24059   0.08490  0.01100  0.04642  1.00000
SN: 1304442     10 0.21711 0.21760 40.15581   0.16730  0.01100  0.03223  0.99998
SN: 1282114     10 0.21781 0.21881 40.28652   0.14560  0.01100  0.13271  1.00000
